word,ipa,prediction
castigados,k a s t i ˈɡ a d o s,k a s t i ˈɡ a d o s
Tomasa,t o ˈm a s a,t o ˈm a s a
monitorear,m o n i t o ɾ e ˈa ɾ,m o n i t o ɾ e ˈa ɾ
cuasidelito,k w a s i d e ˈl i t o,k w a s i d e ˈl i t o
fosforilaras,f o s f o ɾ i ˈl a ɾ a s,f o s f o ɾ i ˈl a ɾ a s
contrarrestadas,k o n t ɾ a r e s ˈt a d a s,k o n t ɾ a r e s ˈt a d a s
biodinámicos,b i o d i ˈn a m i k o s,b i o d i ˈn a m i k o s
desintegrar,d e s i n t e ˈɡ ɾ a ɾ,d e s i n t e ˈɡ ɾ a ɾ
malévolo,m a ˈl e b o l o,m a ˈl e b o l o
autarquía,a u t a ɾ ˈk i a,a u t a ɾ ˈk i a
trapito,t ɾ a ˈp i t o,t ɾ a ˈp i t o
germanio,x e ɾ ˈm a n j o,x e ɾ ˈm a n j o
hanguear,a n ɡ e ˈa ɾ,a n ɡ e ˈa ɾ
fariano,f a ˈɾ j a n o,f a ˈɾ j a n o
digestible,d i x e s ˈt i b l e,d i x e s ˈt i b l e
adores,a ˈd o ɾ e s,a ˈd o ɾ e s
contrariado,k o n t ɾ a ˈɾ j a d o,k o n t ɾ a ˈɾ j a d o
presupuestario,p ɾ e s u p w e s ˈt a ɾ j o,p ɾ e s u p w e s ˈt a ɾ j o
extrusiva,e ɡ s t ɾ u ˈs i b a,e ɡ s t ɾ u ˈs i b a
bagual,b a ˈɡ w a l,b a ˈɡ w a l
Fani,ˈf a n i,ˈf a n i
chapurreados,t͡ʃ a p u r e ˈa d o s,t͡ʃ a p u r e ˈa d o s
baeneras,b a e ˈn e ɾ a s,b a e ˈn e ɾ a s
disparado,d i s p a ˈɾ a d o,d i s p a ˈɾ a d o
nihilismo,n i i ˈl i s m o,n i i ˈl i s m o
empoderadas,e m p o d e ˈɾ a d a s,e m p o d e ˈɾ a d a s
anhedonia,a n e ˈd o n j a,a n e ˈd o n j a
aduana,a ˈd w a n a,a ˈd w a n a
sobresaltar,s o b ɾ e s a l ˈt a ɾ,s o b ɾ e s a l ˈt a ɾ
formaldehido,f o ɾ m a l ˈd e i d o,f o ɾ m a l ˈd e i d o
ensalada,e n s a ˈl a d a,e n s a ˈl a d a
abluidas,a ˈb l w i d a s,a ˈb l w i d a s
ventoseado,b e n t o s e ˈa d o,b e n t o s e ˈa d o
amillararemos,a m i ʝ a ɾ a ˈɾ e m o s,a m i ʝ a ɾ a ˈɾ e m o s
taheño,t a ˈe ɲ o,t a ˈe ɲ o
Shanghái,ʃ a n ˈɡ a i,ʃ a n ˈɡ a i
bebienda,b e ˈb j e n d a,b e ˈb j e n d a
preaviso,p ɾ e a ˈb i s o,p ɾ e a ˈb i s o
calesa,k a ˈl e s a,k a ˈl e s a
lamentaste,l a m e n ˈt a s t e,l a m e n ˈt a s t e
hollado,o ˈʝ a d o,o ˈʝ a d o
yudoca,ʝ u ˈd o k a,ʝ u ˈd o k a
nanorrobot,n a n o r o ˈb o t,n a n o r o ˈb o t
ilegitimidad,i l e x i t i m i ˈd a d,i l e x i t i m i ˈd a d
alcano,a l ˈk a n o,a l ˈk a n o
abastada,a b a s ˈt a d a,a b a s ˈt a d a
comandados,k o m a n ˈd a d o s,k o m a n ˈd a d o s
argüíais,a ɾ ˈɡ w i a i s,a ɾ ˈɡ w i a i s
góndola,ˈɡ o n d o l a,ˈɡ o n d o l a
puterío,p u t e ˈɾ i o,p u t e ˈɾ i o
brótola,ˈb ɾ o t o l a,ˈb ɾ o t o l a
artrósico,a ɾ ˈt ɾ o s i k o,a ɾ ˈt ɾ o s i k o
desagradadas,d e s a ɡ ɾ a ˈd a d a s,d e s a ɡ ɾ a ˈd a d a s
agüé,a ˈɡ w e,a ˈɡ w e
reintensificado,r e i n t e n s i f i ˈk a d o,r e i n t e n s i f i ˈk a d o
pisamos,p i ˈs a m o s,p i ˈs a m o s
bolómetros,b o ˈl o m e t ɾ o s,b o ˈl o m e t ɾ o s
cantalupo,k a n t a ˈl u p o,k a n t a ˈl u p o
Araujo,a ˈɾ a u x o,a ˈɾ a u x o
mosquear,m o s k e ˈa ɾ,m o s k e ˈa ɾ
agostino,a ɡ o s ˈt i n o,a ɡ o s ˈt i n o
pegón,p e ˈɡ o n,p e ˈɡ o n
dinamita,d i n a ˈm i t a,d i n a ˈm i t a
Pireo,p i ˈɾ e o,p i ˈɾ e o
lama,ˈl a m a,ˈl a m a
espectrómetros,e s p e ɡ ˈt ɾ o m e t ɾ o s,e s p e ɡ ˈt ɾ o m e t ɾ o s
alavesista,a l a b e ˈs i s t a,a l a b e ˈs i s t a
Yoro,ˈʝ o ɾ o,ˈʝ o ɾ o
emirato,e m i ˈɾ a t o,e m i ˈɾ a t o
empapelar,e m p a p e ˈl a ɾ,e m p a p e ˈl a ɾ
lisosómico,l i s o ˈs o m i k o,l i s o ˈs o m i k o
ladrido,l a ˈd ɾ i d o,l a ˈd ɾ i d o
jurídico,x u ˈɾ i d i k o,x u ˈɾ i d i k o
llamarlos,ʝ a ˈm a ɾ l o s,ʝ a ˈm a ɾ l o s
infiltrante,i n f i l ˈt ɾ a n t e,i n f i l ˈt ɾ a n t e
atribular,a t ɾ i b u ˈl a ɾ,a t ɾ i b u ˈl a ɾ
chucho,ˈt͡ʃ u t͡ʃ o,ˈt͡ʃ u t͡ʃ o
temblequeado,t e m b l e k e ˈa d o,t e m b l e k e ˈa d o
torrada,t o ˈr a d a,t o ˈr a d a
indignidad,i n d i ɡ n i ˈd a d,i n d i ɡ n i ˈd a d
Marsella,m a ɾ ˈs e ʝ a,m a ɾ ˈs e ʝ a
alojara,a l o ˈx a ɾ a,a l o ˈx a ɾ a
fisgoneados,f i s ɡ o n e ˈa d o s,f i s ɡ o n e ˈa d o s
pavo,ˈp a b o,ˈp a b o
rascador,r a s k a ˈd o ɾ,r a s k a ˈd o ɾ
aireadas,a i ɾ e ˈa d a s,a i ɾ e ˈa d a s
Cauquenes,k a u ˈk e n e s,k a u ˈk e n e s
profundidad,p ɾ o f u n d i ˈd a d,p ɾ o f u n d i ˈd a d
variables,b a ˈɾ j a b l e s,b a ˈɾ j a b l e s
esponjaren,e s p o n ˈx a ɾ e n,e s p o n ˈx a ɾ e n
carcanapire,k a ɾ k a n a ˈp i ɾ e,k a ɾ k a n a ˈp i ɾ e
designado,d e s i ɡ ˈn a d o,d e s i ɡ ˈn a d o
procrastinar,p ɾ o k ɾ a s t i ˈn a ɾ,p ɾ o k ɾ a s t i ˈn a ɾ
lobulillar,l o b u l i ˈʝ a ɾ,l o b u l i ˈʝ a ɾ
triptongo,t ɾ i b ˈt o n ɡ o,t ɾ i b ˈt o n ɡ o
garabateada,ɡ a ɾ a b a t e ˈa d a,ɡ a ɾ a b a t e ˈa d a
Majagua,m a ˈx a ɡ w a,m a ˈx a ɡ w a
desnudamiento,d e s n u d a ˈm j e n t o,d e s n u d a ˈm j e n t o
vermiculadas,b e ɾ m i k u ˈl a d a s,b e ɾ m i k u ˈl a d a s
bodegonista,b o d e ɡ o ˈn i s t a,b o d e ɡ o ˈn i s t a
choquear,t͡ʃ o k e ˈa ɾ,t͡ʃ o k e ˈa ɾ
avenarán,a b e n a ˈɾ a n,a b e n a ˈɾ a n
seriada,s e ˈɾ j a d a,s e ˈɾ j a d a
programada,p ɾ o ɡ ɾ a ˈm a d a,p ɾ o ɡ ɾ a ˈm a d a
autobombeados,a u t o b o m b e ˈa d o s,a u t o b o m b e ˈa d o s
brasileñas,b ɾ a s i ˈl e ɲ a s,b ɾ a s i ˈl e ɲ a s
otolito,o t o ˈl i t o,o t o ˈl i t o
mielodisplasia,m j e l o d i s ˈp l a s j a,m j e l o d i s ˈp l a s j a
consensuar,k o n s e n ˈs w a ɾ,k o n s e n ˈs w a ɾ
fileteada,f i l e t e ˈa d a,f i l e t e ˈa d a
resplandor,r e s p l a n ˈd o ɾ,r e s p l a n ˈd o ɾ
deletreada,d e l e t ɾ e ˈa d a,d e l e t ɾ e ˈa d a
deambuladas,d e a m b u ˈl a d a s,d e a m b u ˈl a d a s
amentoflavona,a m e n t o f l a ˈb o n a,a m e n t o f l a ˈb o n a
empreñador,e m p ɾ e ɲ a ˈd o ɾ,e m p ɾ e ɲ a ˈd o ɾ
juguetonamente,x u ɡ e ˌt o n a ˈm e n t e,x u ɡ e ˌt o n a ˈm e n t e
monoaural,m o n o a u ˈɾ a l,m o n o a u ˈɾ a l
labial,l a ˈb j a l,l a ˈb j a l
operativo,o p e ɾ a ˈt i b o,o p e ɾ a ˈt i b o
autónomos,a u ˈt o n o m o s,a u ˈt o n o m o s
capuchina,k a p u ˈt͡ʃ i n a,k a p u ˈt͡ʃ i n a
desvirtuados,d e s b i ɾ ˈt w a d o s,d e s b i ɾ ˈt w a d o s
fornicamos,f o ɾ n i ˈk a m o s,f o ɾ n i ˈk a m o s
salteado,s a l t e ˈa d o,s a l t e ˈa d o
alargamiento,a l a ɾ ɡ a ˈm j e n t o,a l a ɾ ɡ a ˈm j e n t o
penúltima,p e ˈn u l t i m a,p e ˈn u l t i m a
elegible,e l e ˈx i b l e,e l e ˈx i b l e
desglose,d e s ˈɡ l o s e,d e s ˈɡ l o s e
rapsoda,r a b ˈs o d a,r a b ˈs o d a
fontanería,f o n t a n e ˈɾ i a,f o n t a n e ˈɾ i a
semisedentario,s e m i s e d e n ˈt a ɾ j o,s e m i s e d e n ˈt a ɾ j o
patchwork,ˈp a t͡ʃ w o ɾ k,ˈp a t͡ʃ w o ɾ k
flaubertianas,f l o b e ɾ ˈt j a n a s,f l o b e ɾ ˈt j a n a s
plantares,p l a n ˈt a ɾ e s,p l a n ˈt a ɾ e s
imperará,i m p e ɾ a ˈɾ a,i m p e ɾ a ˈɾ a
orbitadas,o ɾ b i ˈt a d a s,o ɾ b i ˈt a d a s
ecléctico,e ˈk l e ɡ t i k o,e ˈk l e ɡ t i k o
durados,d u ˈɾ a d o s,d u ˈɾ a d o s
venerables,b e n e ˈɾ a b l e s,b e n e ˈɾ a b l e s
caed,k a ˈe d,k a ˈe d
volcadas,b o l ˈk a d a s,b o l ˈk a d a s
devotas,d e ˈb o t a s,d e ˈb o t a s
prestatario,p ɾ e s t a ˈt a ɾ j o,p ɾ e s t a ˈt a ɾ j o
hackearás,x a k e a ˈɾ a s,x a k e a ˈɾ a s
coreografiar,k o ɾ e o ɡ ɾ a ˈf j a ɾ,k o ɾ e o ɡ ɾ a ˈf j a ɾ
esquivares,e s k i ˈb a ɾ e s,e s k i ˈb a ɾ e s
okapi,o ˈk a p i,o ˈk a p i
tricoto,t ɾ i ˈk o t o,t ɾ i ˈk o t o
riñón,r i ˈɲ o n,r i ˈɲ o n
enfocados,e n f o ˈk a d o s,e n f o ˈk a d o s
reargüidas,r e a ɾ ˈɡ w i d a s,r e a ɾ ˈɡ w i d a s
votará,b o t a ˈɾ a,b o t a ˈɾ a
disputador,d i s p u t a ˈd o ɾ,d i s p u t a ˈd o ɾ
remara,r e ˈm a ɾ a,r e ˈm a ɾ a
bilabial,b i l a ˈb j a l,b i l a ˈb j a l
chequeados,t͡ʃ e k e ˈa d o s,t͡ʃ e k e ˈa d o s
reinona,r e i ˈn o n a,r e i ˈn o n a
catadas,k a ˈt a d a s,k a ˈt a d a s
dentaria,d e n ˈt a ɾ j a,d e n ˈt a ɾ j a
encantadores,e n k a n t a ˈd o ɾ e s,e n k a n t a ˈd o ɾ e s
tirémoslas,t i ˈɾ e m o s l a s,t i ˈɾ e m o s l a s
galio,ˈɡ a l j o,ˈɡ a l j o
limosneado,l i m o s n e ˈa d o,l i m o s n e ˈa d o
babélica,b a ˈb e l i k a,b a ˈb e l i k a
superaremos,s u p e ɾ a ˈɾ e m o s,s u p e ɾ a ˈɾ e m o s
cojinúa,k o x i ˈn u a,k o x i ˈn u a
mal,ˈm a l,ˈm a l
beguina,b e ˈɡ i n a,b e ˈɡ i n a
acábalos,a ˈk a b a l o s,a ˈk a b a l o s
amenguados,a m e n ˈɡ w a d o s,a m e n ˈɡ w a d o s
pielero,p j e ˈl e ɾ o,p j e ˈl e ɾ o
comprensivo,k o m p ɾ e n ˈs i b o,k o m p ɾ e n ˈs i b o
opinas,o ˈp i n a s,o ˈp i n a s
hipsómetros,i b ˈs o m e t ɾ o s,i b ˈs o m e t ɾ o s
chele,ˈt͡ʃ e l e,ˈt͡ʃ e l e
elaborados,e l a b o ˈɾ a d o s,e l a b o ˈɾ a d o s
continuando,k o n t i ˈn w a n d o,k o n t i ˈn w a n d o
jactá,x a ɡ ˈt a,x a ɡ ˈt a
derribar,d e r i ˈb a ɾ,d e r i ˈb a ɾ
glaseado,ɡ l a s e ˈa d o,ɡ l a s e ˈa d o
mirla,ˈm i ɾ l a,ˈm i ɾ l a
hidrométricas,i d ɾ o ˈm e t ɾ i k a s,i d ɾ o ˈm e t ɾ i k a s
posesivos,p o s e ˈs i b o s,p o s e ˈs i b o s
espongiforme,e s p o n x i ˈf o ɾ m e,e s p o n x i ˈf o ɾ m e
twittero,t w i ˈt e ɾ o,t w i ˈt e ɾ o
hidrográfico,i d ɾ o ˈɡ ɾ a f i k o,i d ɾ o ˈɡ ɾ a f i k o
vieran,ˈb j e ɾ a n,ˈb j e ɾ a n
cuico,ˈk w i k o,ˈk w i k o
subida,s u ˈb i d a,s u ˈb i d a
litigares,l i t i ˈɡ a ɾ e s,l i t i ˈɡ a ɾ e s
retirado,r e t i ˈɾ a d o,r e t i ˈɾ a d o
paliada,p a ˈl j a d a,p a ˈl j a d a
solerlo,s o ˈl e ɾ l o,s o ˈl e ɾ l o
banqueteada,b a n k e t e ˈa d a,b a n k e t e ˈa d a
hubimos,u ˈb i m o s,u ˈb i m o s
cal,ˈk a l,ˈk a l
definiríamos,d e f i n i ˈɾ i a m o s,d e f i n i ˈɾ i a m o s
transparente,t ɾ a n s p a ˈɾ e n t e,t ɾ a n s p a ˈɾ e n t e
torpedeados,t o ɾ p e d e ˈa d o s,t o ɾ p e d e ˈa d o s
criopreservadas,k ɾ j o p ɾ e s e ɾ ˈb a d a s,k ɾ j o p ɾ e s e ɾ ˈb a d a s
escalonar,e s k a l o ˈn a ɾ,e s k a l o ˈn a ɾ
haríamos,a ˈɾ i a m o s,a ˈɾ i a m o s
chontaduro,t͡ʃ o n t a ˈd u ɾ o,t͡ʃ o n t a ˈd u ɾ o
gramatical,ɡ ɾ a m a t i ˈk a l,ɡ ɾ a m a t i ˈk a l
skúa,e s ˈk u a,e s ˈk u a
engallar,e n ɡ a ˈʝ a ɾ,e n ɡ a ˈʝ a ɾ
bonarda,b o ˈn a ɾ d a,b o ˈn a ɾ d a
coexistir,k o e ɡ s i s ˈt i ɾ,k o e ɡ s i s ˈt i ɾ
oncológica,o n k o ˈl o x i k a,o n k o ˈl o x i k a
vístanlo,ˈb i s t a n l o,ˈb i s t a n l o
afanosas,a f a ˈn o s a s,a f a ˈn o s a s
andaos,a n ˈd a o s,a n ˈd a o s
vengados,b e n ˈɡ a d o s,b e n ˈɡ a d o s
caligrafiados,k a l i ɡ ɾ a ˈf j a d o s,k a l i ɡ ɾ a ˈf j a d o s
descuajar,d e s k w a ˈx a ɾ,d e s k w a ˈx a ɾ
depilar,d e p i ˈl a ɾ,d e p i ˈl a ɾ
sauna,ˈs a u n a,ˈs a u n a
amoldable,a m o l ˈd a b l e,a m o l ˈd a b l e
padrear,p a d ɾ e ˈa ɾ,p a d ɾ e ˈa ɾ
surreal,s u r e ˈa l,s u r e ˈa l
trovero,t ɾ o ˈb e ɾ o,t ɾ o ˈb e ɾ o
alcantarillar,a l k a n t a ɾ i ˈʝ a ɾ,a l k a n t a ɾ i ˈʝ a ɾ
Enka,ˈe n k a,ˈe n k a
tántalo,ˈt a n t a l o,ˈt a n t a l o
sudanés,s u d a ˈn e s,s u d a ˈn e s
tened,t e ˈn e d,t e ˈn e d
atutía,a t u ˈt i a,a t u ˈt i a
sobrescribir,s o b ɾ e s k ɾ i ˈb i ɾ,s o b ɾ e s k ɾ i ˈb i ɾ
Donaire,d o ˈn a i ɾ e,d o ˈn a i ɾ e
aborregabais,a b o r e ˈɡ a b a i s,a b o r e ˈɡ a b a i s
Natan,ˈn a t a n,ˈn a t a n
interna,i n ˈt e ɾ n a,i n ˈt e ɾ n a
Helios,ˈe l j o s,ˈe l j o s
hábito,ˈa b i t o,ˈa b i t o
metros,ˈm e t ɾ o s,ˈm e t ɾ o s
biflagelado,b i f l a x e ˈl a d o,b i f l a x e ˈl a d o
arquear,a ɾ k e ˈa ɾ,a ɾ k e ˈa ɾ
soleros,s o ˈl e ɾ o s,s o ˈl e ɾ o s
nada,ˈn a d a,ˈn a d a
multáramos,m u l ˈt a ɾ a m o s,m u l ˈt a ɾ a m o s
alongadas,a l o n ˈɡ a d a s,a l o n ˈɡ a d a s
numerable,n u m e ˈɾ a b l e,n u m e ˈɾ a b l e
abadernabais,a b a d e ɾ ˈn a b a i s,a b a d e ɾ ˈn a b a i s
permutarás,p e ɾ m u t a ˈɾ a s,p e ɾ m u t a ˈɾ a s
vesicante,b e s i ˈk a n t e,b e s i ˈk a n t e
oleados,o l e ˈa d o s,o l e ˈa d o s
calares,k a ˈl a ɾ e s,k a ˈl a ɾ e s
matula,m a ˈt u l a,m a ˈt u l a
ayuno,a ˈʝ u n o,a ˈʝ u n o
Goliat,ɡ o ˈl j a t,ɡ o ˈl j a t
tardadas,t a ɾ ˈd a d a s,t a ɾ ˈd a d a s
sacristía,s a k ɾ i s ˈt i a,s a k ɾ i s ˈt i a
eslalon,e s ˈl a l o n,e s ˈl a l o n
raídas,r a ˈi d a s,r a ˈi d a s
homofóbico,o m o ˈf o b i k o,o m o ˈf o b i k o
desbarrancadas,d e s b a r a n ˈk a d a s,d e s b a r a n ˈk a d a s
churruscar,t͡ʃ u r u s ˈk a ɾ,t͡ʃ u r u s ˈk a ɾ
adherir,a d e ˈɾ i ɾ,a d e ˈɾ i ɾ
sunroof,ˈs a n r u f,ˈs a n r u f
gastrina,ɡ a s ˈt ɾ i n a,ɡ a s ˈt ɾ i n a
fornicada,f o ɾ n i ˈk a d a,f o ɾ n i ˈk a d a
pausadas,p a u ˈs a d a s,p a u ˈs a d a s
peligro,p e ˈl i ɡ ɾ o,p e ˈl i ɡ ɾ o
colofón,k o l o ˈf o n,k o l o ˈf o n
embarulladas,e m b a ɾ u ˈʝ a d a s,e m b a ɾ u ˈʝ a d a s
conjurar,k o n x u ˈɾ a ɾ,k o n x u ˈɾ a ɾ
vedarme,b e ˈd a ɾ m e,b e ˈd a ɾ m e
Jaca,ˈx a k a,ˈx a k a
arraigar,a r a i ˈɡ a ɾ,a r a i ˈɡ a ɾ
alante,a ˈl a n t e,a ˈl a n t e
dalia,ˈd a l j a,ˈd a l j a
jacau,ˈx a k a u,ˈx a k a u
codifiques,k o d i ˈf i k e s,k o d i ˈf i k e s
lisar,l i ˈs a ɾ,l i ˈs a ɾ
IFE,ˈi f e,ˈi f e
cultivo,k u l ˈt i b o,k u l ˈt i b o
escavar,e s k a ˈb a ɾ,e s k a ˈb a ɾ
girado,x i ˈɾ a d o,x i ˈɾ a d o
escamotear,e s k a m o t e ˈa ɾ,e s k a m o t e ˈa ɾ
angulados,a n ɡ u ˈl a d o s,a n ɡ u ˈl a d o s
avenasen,a b e ˈn a s e n,a b e ˈn a s e n
lastimar,l a s t i ˈm a ɾ,l a s t i ˈm a ɾ
yukpa,ˈʝ u ɡ p a,ˈʝ u ɡ p a
argentina,a ɾ x e n ˈt i n a,a ɾ x e n ˈt i n a
parasailing,p a ɾ a ˈs e i l i n,p a ɾ a ˈs e i l i n
difractada,d i f ɾ a ɡ ˈt a d a,d i f ɾ a ɡ ˈt a d a
hipocraterimorfo,i p o k ɾ a t e ɾ i ˈm o ɾ f o,i p o k ɾ a t e ɾ i ˈm o ɾ f o
condenado,k o n d e ˈn a d o,k o n d e ˈn a d o
mentecatos,m e n t e ˈk a t o s,m e n t e ˈk a t o s
cardíaco,k a ɾ ˈd i a k o,k a ɾ ˈd i a k o
enseñado,e n s e ˈɲ a d o,e n s e ˈɲ a d o
contristado,k o n t ɾ i s ˈt a d o,k o n t ɾ i s ˈt a d o
padouca,p a ˈd o u k a,p a ˈd o u k a
koala,k o ˈa l a,k o ˈa l a
compensadas,k o m p e n ˈs a d a s,k o m p e n ˈs a d a s
desincorporar,d e s i n k o ɾ p o ˈɾ a ɾ,d e s i n k o ɾ p o ˈɾ a ɾ
pluvioso,p l u ˈb j o s o,p l u ˈb j o s o
confesora,k o n f e ˈs o ɾ a,k o n f e ˈs o ɾ a
victoreada,b i ɡ t o ɾ e ˈa d a,b i ɡ t o ɾ e ˈa d a
villalbés,b i ʝ a l ˈb e s,b i ʝ a l ˈb e s
impetrado,i m p e ˈt ɾ a d o,i m p e ˈt ɾ a d o
alcaldada,a l k a l ˈd a d a,a l k a l ˈd a d a
tascó,t a s ˈk o,t a s ˈk o
yuxtaponer,ʝ u ɡ s t a p o ˈn e ɾ,ʝ u ɡ s t a p o ˈn e ɾ
archivado,a ɾ t͡ʃ i ˈb a d o,a ɾ t͡ʃ i ˈb a d o
achorar,a t͡ʃ o ˈɾ a ɾ,a t͡ʃ o ˈɾ a ɾ
abañadas,a b a ˈɲ a d a s,a b a ˈɲ a d a s
posibles,p o ˈs i b l e s,p o ˈs i b l e s
depósitos,d e ˈp o s i t o s,d e ˈp o s i t o s
tiritada,t i ɾ i ˈt a d a,t i ɾ i ˈt a d a
abarrares,a b a ˈr a ɾ e s,a b a ˈr a ɾ e s
costearíamos,k o s t e a ˈɾ i a m o s,k o s t e a ˈɾ i a m o s
amohinadas,a m o i ˈn a d a s,a m o i ˈn a d a s
sobresalir,s o b ɾ e s a ˈl i ɾ,s o b ɾ e s a ˈl i ɾ
Almaguer,a l m a ˈɡ e ɾ,a l m a ˈɡ e ɾ
tururú,t u ɾ u ˈɾ u,t u ɾ u ˈɾ u
atravesar,a t ɾ a b e ˈs a ɾ,a t ɾ a b e ˈs a ɾ
sobresaltadas,s o b ɾ e s a l ˈt a d a s,s o b ɾ e s a l ˈt a d a s
abacoras,a b a ˈk o ɾ a s,a b a ˈk o ɾ a s
intrigados,i n t ɾ i ˈɡ a d o s,i n t ɾ i ˈɡ a d o s
desasosegado,d e s a s o s e ˈɡ a d o,d e s a s o s e ˈɡ a d o
alojar,a l o ˈx a ɾ,a l o ˈx a ɾ
bahaísmo,b a a ˈi s m o,b a a ˈi s m o
minúscula,m i ˈn u s k u l a,m i ˈn u s k u l a
extendidas,e ɡ s t e n ˈd i d a s,e ɡ s t e n ˈd i d a s
aserrados,a s e ˈr a d o s,a s e ˈr a d o s
solad,s o ˈl a d,s o ˈl a d
forjadura,f o ɾ x a ˈd u ɾ a,f o ɾ x a ˈd u ɾ a
ascua,ˈa s k w a,ˈa s k w a
extermino,e ɡ s t e ɾ ˈm i n o,e ɡ s t e ɾ ˈm i n o
regladas,r e ˈɡ l a d a s,r e ˈɡ l a d a s
retreparse,r e t ɾ e ˈp a ɾ s e,r e t ɾ e ˈp a ɾ s e
chingongo,t͡ʃ i n ˈɡ o n ɡ o,t͡ʃ i n ˈɡ o n ɡ o
fondeados,f o n d e ˈa d o s,f o n d e ˈa d o s
modifico,m o d i ˈf i k o,m o d i ˈf i k o
Canuto,k a ˈn u t o,k a ˈn u t o
Tagle,ˈt a ɡ l e,ˈt a ɡ l e
tijereteo,t i x e ɾ e ˈt e o,t i x e ɾ e ˈt e o
nacas,ˈn a k a s,ˈn a k a s
supuesto,s u ˈp w e s t o,s u ˈp w e s t o
presa,ˈp ɾ e s a,ˈp ɾ e s a
amartillado,a m a ɾ t i ˈʝ a d o,a m a ɾ t i ˈʝ a d o
acostaste,a k o s ˈt a s t e,a k o s ˈt a s t e
súcubo,ˈs u k u b o,ˈs u k u b o
alumnado,a l u m ˈn a d o,a l u m ˈn a d o
intervalo,i n t e ɾ ˈb a l o,i n t e ɾ ˈb a l o
semiarco,s e ˈm j a ɾ k o,s e ˈm j a ɾ k o
refrendadas,r e f ɾ e n ˈd a d a s,r e f ɾ e n ˈd a d a s
psicofisiología,s i k o f i s j o l o ˈx i a,s i k o f i s j o l o ˈx i a
desgarrante,d e s ɡ a ˈr a n t e,d e s ɡ a ˈr a n t e
agusánese,a ɡ u ˈs a n e s e,a ɡ u ˈs a n e s e
coescriptas,k o e s ˈk ɾ i b t a s,k o e s ˈk ɾ i b t a s
Blas,ˈb l a s,ˈb l a s
bamba,ˈb a m b a,ˈb a m b a
Torralba,t o ˈr a l b a,t o ˈr a l b a
ventilar,b e n t i ˈl a ɾ,b e n t i ˈl a ɾ
Rojas,ˈr o x a s,ˈr o x a s
trastabillear,t ɾ a s t a b i ʝ e ˈa ɾ,t ɾ a s t a b i ʝ e ˈa ɾ
tortures,t o ɾ ˈt u ɾ e s,t o ɾ ˈt u ɾ e s
anestesiados,a n e s t e ˈs j a d o s,a n e s t e ˈs j a d o s
